Categoria Amazon;Produto Amazon;Nota Amazon;Avaliações Amazon;Produto Mercado Livre;Nota Mercado Livre;Avaliações ML;Similaridade;Nota Geral Ponderada
Beleza Premium;cerave creme hidratante corporal para pele seca a extra seca com 3 ceramidas essenciais e acido hialuronico hidratacao profunda e duradoura tecnologia mve sem perfume 453g;4.8;11466;creme hidratante corporal para pele seca a extra seca com 3 ceramidas essenciais e acido hialuronico hidratacao profunda e duradoura tecnologia mve sem perfume cerave 454g;4.9;43680;0.972;4.88
Brinquedos e Jogos;bicicleta de equilibrio buba 4 rodas;4.8;433;bicicleta de equilibrio 4 rodas buba bege;4.9;17247;1.0;4.9
Casa;chuveiro loren shower eletronico 7500w 220v lorenzetti;4.6;10757;chuveiro lorenzetti loren shower ultra eletronico branco 7500w 220v 75 kw;4.8;32091;0.945;4.75
Cozinha;filtrorefil original de agua acqua pure para purificador electrolux pe12ape12bpe12gpe12vpe12p;4.8;2980;filtrorefil de agua acqua pure para purificador electrolux pe12ape12bpe12gpe12vpe12p  filtro agua pe12  pc02;4.9;3518;0.847;4.85
Cozinha;purificador de agua gelada fria e natural eletrico compacto eletronico placa electrolux filtro refil 6 meses ou 3000l painel touch bivolt grafite pe12g;4.7;24158;purificador de agua gelada fria e natural eletronico placa compacto electrolux pe12g com filtro carvao 6 meses ou 3000l painel touch cinza 127220v;4.8;15484;0.865;4.74
Eletrônicos;apple iphone 16 128 gb  preto;4.8;3422;apple iphone 16 256 gb  rosa  distribuidor autorizado;4.9;22117;0.848;4.89
Eletrônicos;smartphone motorola moto g05128gb 12gb 4gb ram  8gb ram boost e camera 50mp com ai bateria de 5200 mah tela 67 com superbrilho  cinza;4.7;255;smartphone motorola moto g06  128gb 12gb 4gb ram  8gb ram boost e camera 50mp com ai bateria de 5200 mah tela 69  azul marinho;4.9;6134;0.871;4.89
Instrumentos Musicais;flauta doce soprano barroca c yamaha yrs24b;4.8;1894;flauta yamaha doce soprano barroca yrs24b original com capa bege;4.9;1010;0.9;4.83
Livros;cafe com deus pai vol 6  2026 porcoes diarias de amor;4.9;1184;cafe com deus pai  2026  volume 6  porcoes diarias de amor  capa dura  brinde marca texto;5.0;965;0.941;4.94
Livros;habitos atomicos um metodo facil e comprovado de criar bons habitos e se livrar dos maus idioma    portugues;4.8;25648;habitos atomicos um metodo facil e comprovado de criar bons habitos e se livrar dos maus james clear;4.9;7251;0.94;4.82
Livros;a psicologia financeira licoes atemporais sobre fortuna ganancia e felicidade;4.8;25279;livro a psicologia financeira licoes atemporais sobre fortuna ganancia e felicidade de housel morgan editora harpercollins brasil capa mole em portugues 2021;4.9;12223;0.896;4.83
Livros;365 dias de amor com deus  devocional;4.7;1700;365 dias amor com deus devocional;4.9;1109;0.974;4.78
Livros;a arte de gastar dinheiro escolhas simples para uma vida equilibrada  do mesmo autor de a psicologia financeira;4.8;9230;a arte de gastar dinheiro escolhas simples para uma vida equilibrada do mesmo autor de a psicologia financeira;5.0;594;1.0;4.81
Saúde e Bem-Estar;vitafor  omegafor plus 120 capsulas;4.8;1806;omegafor plus 120 capsulas omega 3 vitafor;4.9;43420;0.886;4.9
