Categoria Amazon;Produto Amazon;Nota Amazon;Avaliações Amazon;Produto Mercado Livre;Nota Mercado Livre;Avaliações ML;Similaridade;Nota Geral Ponderada
Alimentos e Bebidas;andorinha  azeite vidro extra virgem 500ml;4.9;9262;azeite de oliva extra virgem andorinha 500ml;4.9;35358;0.893;4.9
Automotivo;capacete aberto pro tork new liberty 3 solid preto fosco tam 60;4.6;1509;capacete aberto pro tork new liberty three abs micrometrico viseira simples 58cm preto fosco;4.7;51197;0.841;4.7
Bebês;granado sabonete liquido bebe tradicional 500ml;4.8;30772;sabonete liquido de glicerina granado bebe tradicional 500ml;4.9;4389;0.97;4.81
Bebês;lencos umedecidos pampers aroma de aloe vera 192 unidades;4.8;16002;lencos umedecidos pampers aroma de aloe vera 192 unidades;4.9;7121;1.0;4.83
Bebês;fralda pampers recemnascido tamanho rn 36 unidades;4.9;3926;fraldas pampers recemnascido tamanho rn 36 unidades;4.9;22066;0.855;4.9
Beleza Premium;cerave creme hidratante corporal para pele seca a extra seca com 3 ceramidas essenciais e acido hialuronico hidratacao profunda e duradoura tecnologia mve sem perfume 453g;4.8;11366;creme hidratante corporal para pele seca a extra seca com 3 ceramidas essenciais e acido hialuronico hidratacao profunda e duradoura tecnologia mve sem perfume cerave 454g;4.9;43082;0.973;4.88
Beleza Premium;la rocheposay anthelios airlicium protetor solar facial antioleosidade fps80 com controle de oleosidade efeito matte cobertura uniforme e toque seco sem cor 40g;4.8;8078;protetor solar facial antioleosidade fps80 controle de oleosidade efeito matte cobertura uniforme toque seco sem cor anthelios airlicium la rocheposay 40g;4.9;27169;0.992;4.88
Brinquedos e Jogos;bicicleta de equilibrio buba verde 4 rodas;4.8;4283;bicicleta de equilibrio 4 rodas buba bege;4.9;16974;0.896;4.88
Cozinha;filtrorefil original de agua acqua pure para purificador electrolux pe12ape12bpe12gpe12vpe12p;4.8;2420;filtrorefil original de agua acqua pure para purificador de agua electrolux pe12ape12bpe12gpe12v;4.9;37558;0.89;4.89
Cozinha;mondial liquidificador turbo power preto 550w 220v  l99 fb;4.6;39119;liquidificador turbo power mondial 550w l99 fb preto 127v;4.7;259864;0.909;4.69
Eletrônicos;apple iphone 16 128 gb  branco;4.8;3319;apple iphone 16 256 gb  branco  distribuidor autorizado;4.9;21342;0.91;4.89
Eletrônicos;apple iphone 15 128 gb  preto;4.8;8171;apple iphone 15 128 gb  preto  distribuidor autorizado;4.9;38042;1.0;4.88
Eletrônicos;smartphone samsung galaxy a56 5g 128gb 8gb ram camera 50mp ip67 super amoled 67 recursos ai preto;4.8;2835;smartphone samsung galaxy a36 5g 128gb 6gb ram camera tripla de ate 50mp selfie de 12mp ip67 super amoled 67 nfc recursos ai android e seguranca snapdragon  verde;4.9;13946;0.83;4.88
Eletrônicos;samsung celular galaxy a16 128gb  4gb ram camera de ate 50mp tela 67 nfc ip54 bateria 5000 mah preto;4.8;4640;celular samsung galaxy a16 5g 128gb  4gb ram camera de ate 50mp tela 67  nfc ip54 bateria 5000 mah azul escuro;4.8;20961;0.953;4.8
Instrumentos Musicais;flauta doce soprano barroca c yamaha yrs24b;4.8;1884;flauta doce yamaha barroca yrs24b kit c 20 flautas;4.9;4942;0.926;4.87
Jardim e Piscina;karcher lavadora de alta pressao pratica black 1500 psilibras 1400w 300lh com aplicador de detergente e lanca regulavel 127v;4.7;9870;lavadora de alta pressao karcher compacta 1500 psilibras 1400w 300lh com aplicador de detergente e lanca regulavel 127v;4.8;55451;0.931;4.78
Livros;cafe com deus pai vol 6  2026 porcoes diarias de amor;4.9;1003;cafe com deus pai 2026  porcoes diarias de amor  mini copo;5.0;741;0.951;4.94
Livros;a psicologia financeira licoes atemporais sobre fortuna ganancia e felicidade;4.8;25077;livro a psicologia financeira licoes atemporais sobre fortuna ganancia e felicidade de housel morgan editora harpercollins brasil capa mole em portugues 2021;4.9;11871;0.844;4.83
Livros;habitos atomicos um metodo facil e comprovado de criar bons habitos e se livrar dos maus idioma    portugues;4.8;25497;habitos atomicos um metodo facil e comprovado de criar bons habitos e se livrar dos maus james clear;4.9;6923;0.936;4.82
Livros;365 habitos simples e poderosos;4.7;4900;365 habitos simples e poderosos;4.9;403;1.0;4.72
Livros;a arte de gastar dinheiro escolhas simples para uma vida equilibrada  do mesmo autor de a psicologia financeira;4.8;7940;a arte de gastar dinheiro escolhas simples para uma vida equilibrada do mesmo autor de a psicologia financeira;5.0;520;1.0;4.81
Livros;mulheres com deus  365 dias de fe  devocional 2026;4.8;650;mulheres com deus  365 dias de fe  devocional;5.0;499;0.946;4.89
Livros;o homem mais rico da babilonia;4.9;46915;o homem mais rico da babilonia george s clason  ano 2017  editora harpercollins brasil;4.9;11761;1.0;4.9
