Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço;Nota Geral;Qtd. Avaliações;Características;País;Data Comentário;Nota Comentário;Comentário;Link
1;1;Alimentos e Bebidas;B0F2GMT6T3;Integralmedica - Barra de Proteína Whey Protein Crisp Bar Ovomaltine - Snack Proteíco - Pré e Pós-Treino - 12 Unidades;76,56;4,7;9.878;Não possui características detectáveis;Brasil;11/11/2025;5,0;Ótima barra, gosto e tamanho ideal (pra mim, acho), quantidade proteica boa, só talvez um pouco dura, mas não de um jeito ruim. Comparando com outras marcas, o preço é um pouco maior, mas vale a pena.;https://www.amazon.com.br/dp/B0F2GMT6T3
2;2;Alimentos e Bebidas;B097BYXGXN;Ketchup Heinz Tradicional 1,033KG;22,46;4,9;21.047;Não possui características detectáveis;Brasil;15/01/2026;5,0;Chegou antes do prazo, o preço estava muito bom;https://www.amazon.com.br/dp/B097BYXGXN
3;3;Alimentos e Bebidas;B07HDSL78H;Orfeu Café Clássico em Grãos, 100% Arabica, Torra Média, 1kg;135,00;4,7;18.551;Não possui características detectáveis;Brasil;15/01/2026;5,0;Maravilhoso! Sabor e aromas deliciosos. Acidez não deixa o café amargo é uma experiência revigorante esse café.;https://www.amazon.com.br/dp/B07HDSL78H
4;4;Alimentos e Bebidas;B0B6LG6C73;Brigadeiro de Colher FLORMEL Zero Açúcar 200 gramas;14,84;4,4;937;Não possui características detectáveis;Brasil;14/01/2026;5,0;Maravilhoso!!! Pus para gelar, antes de consumir...Perfeito! Bem chocolatudo, nem parece zero açúcar! AMEI!;https://www.amazon.com.br/dp/B0B6LG6C73
5;5;Alimentos e Bebidas;B07Y2GTX9G;Doce de Leite Cremoso FLORMEL 210 Gramas;14,84;4,6;3.986;Não possui características detectáveis;Brasil;15/01/2026;5,0;Doce de leite sem açúcar de ótima qualidade. Textura muito boa, saboroso! Comprarei novamente.;https://www.amazon.com.br/dp/B07Y2GTX9G
6;6;Alimentos e Bebidas;B09WTLQ53R;Ninho Fases 1 - Fórmula Infantil, 1.2 kg (Pacote de 1);67,22;4,8;9.141;Não possui características detectáveis;Brasil;10/01/2026;5,0;Qualidade, prazo de entrega e sabor.Satisfeitos. Gratidão.;https://www.amazon.com.br/dp/B09WTLQ53R
7;7;Alimentos e Bebidas;B00P9VQCXY;Andorinha - Azeite vidro, Extra virgem, 500ml;34,49;4,9;9.252;Não possui características detectáveis;Brasil;12/01/2026;5,0;Esse azeite é maravilhoso!! Vale muito a pena o custo X benefício!!;https://www.amazon.com.br/dp/B00P9VQCXY
8;8;Alimentos e Bebidas;B07XTJJR2J;Molico Leite Em Pó Desnatado Total Cálcio 500G;19,99;4,8;2.998;Não possui características detectáveis;Brasil;08/12/2025;5,0;Este leite é maravilhoso e nutritivo um ótimo cálcio. Preço bom. A entrega chegou antes do prazo. Entrega top.;https://www.amazon.com.br/dp/B07XTJJR2J
9;9;Alimentos e Bebidas;B004Q47N5G;Whisky Johnnie Walker Red Label 1L;75,08;4,8;6.936;Não possui características detectáveis;Brasil;17/12/2025;5,0;Excelente custo benefício e um bom uísque;https://www.amazon.com.br/dp/B004Q47N5G
10;10;Alimentos e Bebidas;B09M2B14V7;YoPRO Bebida Láctea UHT Chocolate 15g de proteínas 250ml - 12 unidades;87,99;4,7;23.483;Não possui características detectáveis;Brasil;06/01/2026;5,0;Ótimo pós treino;https://www.amazon.com.br/dp/B09M2B14V7
