Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Caractéristicas;País;Nota Comentário;Data Comentário;Comentário;Link
1;1;Acessórios para Veículos;LBU3065974040;Tag Ultrapasse - Pagamento De Pedágios E Estacionamentos;19,90;4,9;50512;{};Brasil;5;02/05/2025;É bom pra caramba eu recomendo, pq tem como pagar com dinheiro, pix, cartão de crédito ou débito e etc.;https://www.mercadolivre.com.br/tag-ultrapasse--pagamento-de-pedagios-e-estacionamentos/up/MLBU3065974040
2;2;Acessórios para Veículos;MLB20858478;Capacete Moto Aberto Pro Tork New Liberty Three Viseira Fume Cor Branco Tamanho 58 Brilhante;159,00;4,7;37486;{'Cor': 'Branco', 'Tamanho do capacete': '58'};Brasil;5;06/04/2018;O capacete é bonito, razoavelmente bem acabado e feito com bons materiais. A viseira tem 2 mm de espessura, mas é cristalina e não distorce (nem o meu nem o da minha esposa apresentaram deformação). O casco interno do capacete é maior do que o padrão e se você comprar o número correto vai ficar folgado. Outros usuários avisaram sobre isso e comprei os dois capacetes um número menor que o padrão e vestiram muito bem. O ponto negativo é a falta de um material mais largo e confortável na cinta jugular. É um ótimo segundo capacete, ideal para passeios dentro da cidade. Não recomendo andar com ele em vias expressas ou estradas. A avaliação leva em conta que o capacete custa menos do que um capacete de bicicleta! não espere grande proteção ou materiais luxuosos, mas realmente é um excelente custo benefício, por isso dou 5 estrelas!.;https://www.mercadolivre.com.br/capacete-moto-aberto-pro-tork-new-liberty-three-viseira-fume-cor-branco-tamanho-58/p/MLB20858478
3;3;Acessórios para Veículos;MLB23957907;Capacete Robocop Stronger Faster Gladiator Etceter Fosco Cor Cinza/rosa Tamanho Do Capacete 58;265,90;4,6;21983;{'Cor': 'Cinza/Rosa', 'Tamanho do capacete': '58', 'Acabamento': 'Fosco'};Brasil;4;04/05/2021;"Opinião sincera de quem pesquisou muito e estava com receio de comprar este cap. Nunca tive um escamoteável e sempre quiz.
Para a cidade o cap é top, lindo de mais, seguro, rocob muito prático e fácil de abrir ou fechar, leve, muito confortável, acertaram no produto. Escolha perfeita.
Para a estrada, ""utilizo para trabalhar, rodo 50 km na pista dia, média de 100 km velocidade"".
O cap é leve não pesa no fim do trajeto por causa do impacto do vento, muito confortável ajusta certinho, a cinta é de fácil remoção. Muito pouco a reclamar.
Pontos negativo somente para a pista, na cidade não tem pontos negativos.
Vento. Entra vento sim, pouco mas entra, não tem quebra vento de queixo e de nariz, nas orelhas o vento não chega, ótima vedação das espumas.
Barulho, pouca coisa, as espumas são espessas e fica um vão na orelha que não aperta a orelha e o vento não chega, frio na orelha é zero.
Chuva. Não sei se entra água pq não peguei chuva, mas acho q vai entrar sim, um pequeno vão em cima da viseira.
Visibilidade. Tenho um outro cap, peels, a viseira dele é maior, já este é menor por causa da queixeira, demorei para me adaptar nisto. Mas já me acostumei.
Tamanho, peguei um número abaixo, o peels que já tenho é 58, este peguei 56, perfeito.
Resumo, para a cidade nota 10, sem erro. Para a pista nota 9.
Agora se vc quer algo melhor, zero de vento, zero de barulho, óculos de sol interno, então gasta 450, 500 contos em um outro cap. Hoje eu paguei 169,90 na promoção.
Vlw, abraços.";https://www.mercadolivre.com.br/capacete-robocop-stronger-faster-gladiator-etceter-fosco-cor-cinzarosa-tamanho-do-capacete-58/p/MLB23957907
4;4;Acessórios para Veículos;MLB61443467;Capacete Race Tech Hit Android Verde Tamanho Do Capacete 62 Brilhante;374,90;4,9;4574;{'Cor': 'Verde', 'Desenho': 'Android', 'Tamanho do capacete': '62', 'Acabamento': 'Brilhante'};Brasil;5;11/09/2025;"Bonito, confortável e possui ótimo custo benefício.
Medi minha cabeça seguindo a tabela de medidas e deu o tamanho certinho no capacete. Fica levemente apertado nos primeiros usos e devo ter ficado umas duas semanas 'laceando', mas como eu faço trajetos curtos de 30min no máximo por dia, acho que é normal o tempo que levou. A viseira é meio dura pra abaixar e levantar no início, mas fica mais leve depois de um tempo de uso. Falando na viseira, gostei mt. Sem fazer nenhum tratamento permite boa visibilidade até em uma noite chuvosa, e eu tomei umas tantas chuvas com ele já e não molhou nadinha a cabeça (sempre mantenho fechada a entrada de ar do topo da cabeça quando pego chuva).
Pra galera que assim como eu, usa óculos, até da pra usar com armações maiores, só que fica um pouco desconfortável, já em óculos mais finos é bem tranquilo, zero incômodos. Aliás, a entrada de ar da frente ajuda pra caramba a não embaçar o óculos e a viseira, mas como a narigueira é baixa, não impede 100%, então as vezes fica levemente embaçado.
Um ponto negativo é que a bavete veio com um defeito na costura.";https://www.mercadolivre.com.br/capacete-race-tech-hit-android-verde-tamanho-do-capacete-62/p/MLB61443467
5;5;Acessórios para Veículos;MLB1009709098;Capa Para Moto Forrada Impermeável Térmica Sol Chuva;55,99;4,8;34198;{'Cor': 'Preto', 'Selecione Tamanho': 'Escolha'};Brasil;5;04/07/2018;"Prós: é uma capa muito boa, material resistente, aparenta ter boa durabilidade e serviu bem na moto. Capa térmica, permitindo que possa cobrir a moto logo depois de desligar. Ela tem furos na borda, na parte que cobre as rodas, para que seja possível amarrar para não ter risco dela sair com ventos e etc.
Contras: poderia ter mais furos para prender embaixo do motor, para evitar que a capa fique arrastando no chão.";https://produto.mercadolivre.com.br/MLB-1009709098-capa-para-moto-forrada-impermeavel-termica-sol-chuva-_JM
6;6;Acessórios para Veículos;MLB11976985;Capacete Para Moto Pro Tork Sport Moto 788 Cor Rosa Tamanho Do Capacete 58;110,58;4,6;17682;{'Cor': 'Rosa', 'Tamanho do capacete': '58'};Brasil;5;19/06/2021;Lindo, perfeito! o capacete é maravilhoso, vi muitos comentários de que a viseira é ruim e embaçada, mas muito pelo contrário ela é perfeita nem parece que estava de capacete. O tamanho foi perfeito, comprei para as aulas do cfc. Comprem sem medo.;https://www.mercadolivre.com.br/capacete-para-moto-pro-tork-sport-moto-788-cor-rosa-tamanho-do-capacete-58/p/MLB11976985
7;7;Acessórios para Veículos;MLB25118899;Modulo Taramps Ts 800 Rms Ts800x4 2 Ohms Amplificador 800w Entrada Rca E Fio T800 4 Canais Som Automotivo Prata/preto;335,52;4,8;25625;{'Cor': 'Prata/Preto'};Brasil;5;28/03/2024;Todo top gostei muito.;https://www.mercadolivre.com.br/modulo-taramps-ts-800-rms-ts800x4-2-ohms-amplificador-800w-entrada-rca-e-fio-t800-4-canais-som-automotivo/p/MLB25118899
8;8;Acessórios para Veículos;MLB5298350806;Capa Chuva Motoqueiro Pvc Impermeável Motoboy Emborrachada;78,90;4,7;9616;{'Cor': 'Preto', 'Tamanho': 'Escolha'};Brasil;5;04/07/2025;"Para quem tem dúvidas assim como eu.
Essa capa ela é grossa ,mais que a de nylon. Acredito que epa esquenta mais um pouco que a de nylon. Para quem pegar chuva forte e assim como eu detesta sentir a água batendo no seu corpo. Ela vai servir bem.
Eu tenho 1. 66 de atura e peso 86 kilos.
E ficou boa. Ficou justa mais não muito.
Ficou como se fosse um casaco normal e uma moleton em cima da calça jeans.
Para quem tem essa altura e pesa menos comprem a m sem medo. Vai ficar perfeita. Pois ela é tamanho menor que as outras.
Ela não é bulorrachuda que dificulta guardar. Ela é bem maliavel.
Pra ser sincero ela é mais fina que as de pvc normais e mais grossa que a de nylon , ficando no meio terno.
Ainda não peguei chuva com ela.
Vamos ver a durabilidade.
Mais quem for comprar pra usar assim como eu só para ir para o trabalho ou algo do tipo perfeito.
Agora se vc é motoboy usa direto.
Seria melhor mepgar uma alba ,que tá custando o dobro dessa.
Se vc é mulher de tem 155 a 60 e é magrinha compre a p.
Se vc tem 166 a 173 e pesa no máximo 85 e não é barrigudo compre a m.
Se for barrigudo compre a g.
Se vc tem 180 ou + e pessoa mais de 90 kilos comprem gg.
Se for barrigudo comprem a maior.
Espero ter ajudado vc.";https://produto.mercadolivre.com.br/MLB-5298350806-capa-chuva-motoqueiro-pvc-impermeavel-motoboy-emborrachada-_JM
9;9;Acessórios para Veículos;MLB25927374;Som Rádio Automotivo Bluetooth Usb Card Sd Aux Fm Mp3 H-tech;53,29;4,7;10508;{};Brasil;5;14/12/2023;Produto fácil estalacao e estar suprindo a necessidade.;https://www.mercadolivre.com.br/som-radio-automotivo-bluetooth-usb-card-sd-aux-fm-mp3-h-tech/p/MLB25927374
10;10;Acessórios para Veículos;LBU1147723278;Par Lâmpadas Led Pingo Projetor 37 Smd Extra Forte Canbus 8w T10 6.000k Branco-frio;41,90;4,9;5974;{'Cor': '6.000k'};Brasil;5;02/10/2024;Produto ótimo, só não avaliei a durabilidade, pois é a primeira que compro. Gostaria de dizer que meu carro é um onix plus lt 22/23. Estou dizendo isso pois foi difícil encontrar uma lâmpada para ele e se alguém precisar, pode comprar que dá certo. No caso do meu eu comprei para luz de ré e para lanterna. Ficou muito bom, agora vou avaliar o tempo que vai durar. Mas des de já super indico. Mais uma observação, comprei da mesma marca dois modelos diferentes. O da lanterna deixei o que tem menos leds e o mais forte coloquei na luz de ré. Na imagem da para avaliar bem.;https://www.mercadolivre.com.br/par-lampadas-led-pingo-projetor-37-smd-extra-forte-canbus-8w/up/MLBU1147723278
